,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change
0,2004-01-30 19:01:02,1075449662.0,/a,0.407,36.65,0.0,1131.130005,0.0
1,2004-04-13 04:07:11,1081793231.0,/a,0.375,31.87,-13.042291950886762,1129.439941,-0.14941377140816745
2,2004-12-13 21:37:34,1102934254.0,/a,0.323,23.84,-34.95225102319236,1198.680054,5.971908507545951
3,2005-01-22 05:17:19,1106331439.0,/a,0.322,21.8,-40.518417462482944,1184.630005,4.729783469938099
4,2006-01-09 02:35:16,1136734516.0,/a,0.0,34.65,-5.457025920873124,1290.150024,14.058509481410145
5,2006-06-21 11:01:16,1150851676.0,/a,0.368,32.18,-12.19645293315143,1252.199951,10.703451014899041
6,2006-08-19 10:42:01,1155948121.0,/a,0.396,31.8,-13.23328785811732,1295.430054,14.525301978882608
7,2007-02-20 17:46:56,1171954016.0,/a,0.411,32.48,-11.377899045020468,1459.680054,29.046179267430887
8,2007-04-12 05:07:51,1176318471.0,/a,0.411,34.62,-5.538881309686224,1447.800049,27.995901673565804
9,2008-01-23 19:28:50,1201076930.0,/a,0.645,32.16,-12.251023192360169,1338.599976,18.3418325111091
10,2008-02-14 04:44:34,1202924674.0,/a,0.645,32.68,-10.832196452933148,1348.859985,19.248890846989784
11,2008-04-26 04:49:23,1209149363.0,/a,0.67,31.53,-13.969986357435191,1379.930054,21.995707646354933
12,2008-12-06 19:21:33,1228551693.0,/a,0.83,17.26,-52.905866302864936,870.73999,-23.020343713718386
13,2004-04-13 04:20:10,1081794010.0,/aa,0.595,34.26,0.0,1129.439941,0.0
14,2004-09-09 16:15:45,1094710545.0,/aa,0.561,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841
15,2004-11-24 10:37:20,1101253040.0,/aa,0.53,33.58,-1.9848219497956794,1181.76001,4.6323905416056
16,2004-12-05 00:36:42,1102167402.0,/aa,0.53,32.86,-4.086398131932278,1190.329956,5.391168913867899
17,2005-01-13 07:18:32,1105561112.0,/aa,0.457,29.43,-14.098073555166371,1177.449951,4.250780254635953
18,2005-02-07 03:48:37,1107708517.0,/aa,0.457,29.37,-14.27320490367775,1201.719971,6.399634666364247
19,2005-05-22 08:48:23,1116715703.0,/aa,0.543,27.45,-19.87740805604203,1191.079956,5.457573507222014
20,2006-06-20 04:32:21,1150741941.0,/aa,0.526,29.1,-15.061295971978975,1240.119995,9.799551971041895
21,2007-01-25 19:09:37,1169712577.0,/aa,0.494,31.46,-8.172796263864557,1423.900024,26.07133609417837
22,2007-02-23 09:03:42,1172181822.0,/aa,0.494,34.75,1.4302393461763048,1451.189941,28.48757054891509
23,2007-05-16 21:12:47,1179313967.0,/aa,0.494,39.04,13.952130764740225,1514.140015,34.06113596969029
24,2007-06-22 06:39:12,1182458352.0,/aa,0.503,40.34,17.746643315820215,1502.560059,33.03585294403891
25,2007-10-11 20:57:59,1192100279.0,/aa,0.47,38.08,11.150029188558088,1554.410034,37.626621617766915
26,2008-01-23 16:05:53,1201064753.0,/aa,0.499,28.04,-18.155283129013426,1338.599976,18.518916093476445
27,2008-10-28 00:52:22,1225115542.0,/aa,0.672,9.04,-73.61354349095154,940.51001,-16.727753653967874
28,2008-12-05 01:03:15,1228399395.0,/aa,0.672,8.06,-76.47402218330413,876.070007,-22.433236580571755
29,2008-12-06 09:33:46,1228516426.0,/aa,0.672,8.15,-76.21132516053707,870.73999,-22.905153395845776
30,2008-12-18 10:54:07,1229558047.0,/aa,0.672,10.35,-69.78984238178634,885.2800289999999,-21.617786226315168
31,2003-12-07 10:36:10,1070753770.0,/aapl,0.072,20.85,0.0,1069.719971,0.0
32,2004-02-03 07:33:34,1075754014.0,/aapl,0.07,22.32,7.05035971223021,1136.030029,6.198823972409507
33,2004-06-03 01:20:38,1086189638.0,/aapl,0.0,28.92,38.705035971223026,1116.640015,4.3861987503269635
34,2004-08-10 02:02:44,1092067364.0,/aapl,0.0,30.3,45.32374100719424,1079.040039,0.8712624100387102
35,2004-10-12 05:40:57,1097523657.0,/aapl,0.0,38.59,85.08393285371703,1121.839966,4.8723026972448675
36,2004-12-04 14:16:51,1102130211.0,/aapl,0.0,62.68,200.62350119904076,1191.369995,11.372137316112614
37,2005-01-26 15:16:47,1106713007.0,/aapl,0.0,71.94,245.03597122302153,1174.069946,9.754887057259594
38,2005-02-04 03:07:08,1107446828.0,/aapl,0.0,77.81,273.18944844124695,1203.030029,12.46214538514959
39,2005-03-01 10:36:03,1109633763.0,/aapl,0.0,44.86,115.15587529976017,1210.410034,13.152046032054496
40,2005-12-17 11:55:53,1134780953.0,/aapl,0.0,71.11,241.05515587529976,1272.73999,18.978800480859682
41,2006-01-25 09:43:52,1138142632.0,/aapl,0.0,76.04,264.70023980815347,1264.680054,18.22533824602214
42,2003-10-26 16:06:32,1067144792.0,/abc,0.592,57.01,0.0,1033.77002,0.0
43,2004-01-28 07:37:34,1075235854.0,/abc,0.429,56.36,-1.14015085072794,1128.47998,9.161608304330604
44,2004-05-16 19:24:15,1084699455.0,/abc,0.412,58.97,3.4379933345027203,1096.439941,6.062269149573535
45,2004-10-20 01:31:26,1098199886.0,/abc,0.331,52.1,-8.612524118575683,1103.660034,6.760692673211792
46,2005-01-08 07:45:42,1105130742.0,/abc,0.332,57.9,1.5611296263813377,1183.73999,14.507092206059536
47,2005-03-30 19:52:42,1112176362.0,/abc,0.291,55.44,-2.753902824065954,1181.410034,14.281707840589156
48,2005-05-26 01:50:44,1117036244.0,/abc,0.23,65.93,15.646377828451167,1197.619995,15.849751088738294
49,2005-12-04 08:46:13,1133646373.0,/abc,0.223,79.46,39.379056305911234,1264.670044,22.335724535714437
50,2007-02-20 06:12:02,1171912322.0,/abc,0.308,54.9,-3.701105069286089,1459.680054,41.19968907591265
51,2007-04-05 16:11:07,1175753467.0,/abc,0.308,53.94,-5.385020171899668,1443.76001,39.659690459972914
52,2008-01-23 20:34:05,1201080845.0,/abc,0.396,45.55,-20.101736537449572,1338.599976,29.487211865555945
53,2004-09-20 13:31:02,1095651062.0,/abt,0.543,42.92,0.0,1122.199951,0.0
54,2004-10-23 22:48:08,1098535688.0,/abt,0.543,40.86,-4.7996272134203215,1103.660034,-1.6521045989601955
55,2005-01-25 12:44:11,1106617451.0,/abt,0.508,45.93,7.013047530288905,1168.410034,4.117811888943839
56,2005-02-28 19:21:54,1109578914.0,/abt,0.508,45.61,6.267474370922642,1203.599976,7.253611526846333
57,2006-06-17 18:01:01,1150531261.0,/abt,0.436,42.78,-0.3261882572227413,1230.040039,9.609703502829676
58,2006-07-18 12:32:14,1153189934.0,/abt,0.436,44.48,3.63466915191052,1236.859985,10.217433524019107
59,2007-01-13 21:19:42,1168683582.0,/abt,0.604,50.45,17.544268406337373,1414.849976,26.078242539506213
